"source","target","gene_A","gene_B","type_gene_A","type_gene_B","MeanLR"
"MSC","MSC","TGFB1","TGFBR3","Ligand","Receptor",0.182812574834752
"MSC","MSC","IGF2","INSR","Ligand","Receptor",0.430001790839074
"MSC","MSC","IGF2","IGF2R","Ligand","Receptor",0.435744899735824
"MSC","MSC","APOE","LRP1","Ligand","Receptor",1.28446725301095
"MSC","MSC","LGALS1","ITGB1","Ligand","Receptor",0.884666712330661
"MSC","MSC","SPP1","ITGAV","Ligand","Receptor",0.236604511491798
"MSC","MSC","SPP1","ITGA5","Ligand","Receptor",0.205156565431614
"MSC","MSC","SPP1","ITGB5","Ligand","Receptor",0.185003103817889
"MSC","MSC","BMP1","BMPR2","Ligand","Receptor",0.0812704394953225
"MSC","MSC","CCL2","CCR10","Ligand","Receptor",0.246643306172638
"MSC","MSC","CCL2","ACKR1","Ligand","Receptor",0.322525755324912
"MSC","MSC","VCAN","ITGB1","Ligand","Receptor",0.945101759304487
"MSC","MSC","VCAN","CD44","Ligand","Receptor",0.753530997587428
"MSC","MSC","HGF","NRP1","Ligand","Receptor",0.33313291382842
"MSC","MSC","HGF","ITGB1","Ligand","Receptor",0.474067472782556
"MSC","MSC","HGF","CD44","Ligand","Receptor",0.282496711065497
"MSC","MSC","NID1","ITGB1","Ligand","Receptor",0.295624755235015
"MSC","MSC","NID1","ITGAV","Ligand","Receptor",0.224904437042468
"MSC","MSC","VEGFA","NRP1","Ligand","Receptor",0.133660484598361
"MSC","MSC","VEGFA","NRP2","Ligand","Receptor",0.239426262605748
"MSC","MSC","VEGFA","ITGB1","Ligand","Receptor",0.274595043552497
"MSC","MSC","VEGFA","ITGAV","Ligand","Receptor",0.20387472535995
"MSC","MSC","VEGFA","SIRPA","Ligand","Receptor",0.0759297881860098
"MSC","MSC","FST","BMPR2","Ligand","Receptor",0.170733167304266
"MSC","MSC","MDK","NOTCH2","Ligand","Receptor",0.706634072660711
"MSC","MSC","MDK","LRP1","Ligand","Receptor",0.808727483348217
"MSC","MSC","FGF7","NRP1","Ligand","Receptor",0.194062357623961
"MSC","MSC","FGF7","FGFR1","Ligand","Receptor",0.243613993540606
"MSC","MSC","FBLN1","ITGB1","Ligand","Receptor",0.312098549468675
"MSC","MSC","CALR","ITGAV","Ligand","Receptor",0.515114172910739
"MSC","MSC","CALR","LRP1","Ligand","Receptor",0.560284168725812
"MSC","MSC","GRN","TNFRSF1A","Ligand","Receptor",0.248561601068985
"MSC","MSC","ADM","RAMP1","Ligand","Receptor",0.127113646767543
"MSC","MSC","ADM","RAMP2","Ligand","Receptor",0.121329096431399
"MSC","MSC","ADM","RAMP3","Ligand","Receptor",0.115210420414293
"MSC","MSC","SERPINF1","PLXDC2","Ligand","Receptor",0.416176040977454
"MSC","MSC","CXCL12","CD4","Ligand","Receptor",1.15025804938115
"MSC","MSC","CXCL12","ITGB1","Ligand","Receptor",1.28541850797896
"MSC","MSC","CXCL12","ITGAV","Ligand","Receptor",1.21469818978641
"MSC","MSC","CXCL12","ITGA5","Ligand","Receptor",1.15180229766604
"MSC","MSC","PGF","NRP1","Ligand","Receptor",0.305579876172866
"MSC","MSC","PGF","NRP2","Ligand","Receptor",0.411345654180253
"MSC","MSC","VEGFB","NRP1","Ligand","Receptor",0.115475972383408
"MSC","MSC","LUM","ITGB1","Ligand","Receptor",0.707106103823432
"MSC","MSC","COL16A1","ITGA10","Ligand","Receptor",0.367480493677617
"MSC","MSC","COL16A1","ITGA1","Ligand","Receptor",0.370237054708444
"MSC","MSC","COL16A1","ITGA11","Ligand","Receptor",0.383209045377387
"MSC","MSC","LGALS3BP","ITGB1","Ligand","Receptor",0.461355074238313
"MSC","MSC","MFGE8","ITGAV","Ligand","Receptor",0.20656848897297
"MSC","MSC","MFGE8","PDGFRB","Ligand","Receptor",0.234321828504331
"MSC","MSC","ANGPT1","ITGB1","Ligand","Receptor",0.299348939299991
"MSC","MSC","ANGPT1","ITGA5","Ligand","Receptor",0.165732728987077
"MSC","MSC","COL21A1","ITGA10","Ligand","Receptor",0.260993616842995
"MSC","MSC","COL21A1","ITGA1","Ligand","Receptor",0.263750177873823
"MSC","MSC","COL21A1","ITGA11","Ligand","Receptor",0.276722168542765
"MSC","MSC","SCGB3A1","NOTCH3","Ligand","Receptor",0.265255322137464
"MSC","MSC","SPON2","ITGB2","Ligand","Receptor",0.15202678482364
"MSC","MSC","SPON2","ITGB1","Ligand","Receptor",0.250819336381822
"MSC","MSC","SPON2","ITGA5","Ligand","Receptor",0.117203126068908
"MSC","MSC","ANGPTL4","ITGA5","Ligand","Receptor",0.249529283645663
"MSC","MSC","ANGPTL4","CDH11","Ligand","Receptor",0.485614526418713
"MSC","MSC","LTBP3","ITGB5","Ligand","Receptor",0.20194465810459
"MSC","MSC","CLEC11A","ITGA10","Ligand","Receptor",0.262281567173847
"MSC","MSC","CLEC11A","ITGB1","Ligand","Receptor",0.384546590168629
"MSC","MSC","CLEC11A","ITGA11","Ligand","Receptor",0.293738670573387
"MSC","MSC","TXLNA","STX4","Ligand","Receptor",0.136420447800086
"MSC","MSC","COL8A1","ITGA1","Ligand","Receptor",0.27859950580282
"MSC","MSC","COL5A3","ITGA1","Ligand","Receptor",0.35520006685314
