"","PC1","PC2","PC3","PC4","PC5","PC6"
"COL9A2/MSC",-0.414984518364682,-0.193583466774506,0.314771335440632,0.0840639060271618,0.133960971839601,0.247677802959292
"COL9A2/Fibroblast",-0.414984518364682,-0.193583466774506,0.314771335440632,0.0840639060271619,0.133960971839601,0.247677802959292
"COL9A2/Megakaryocyte",-0.414984518364682,-0.193583466774506,0.314771335440632,0.0840639060271619,0.133960971839601,0.247677802959292
"COL9A2/Myeloid",-0.414984518364682,-0.193583466774506,0.314771335440632,0.0840639060271618,0.133960971839601,0.247677802959292
"CD14/Megakaryocyte",-0.364452420635823,0.146244572692331,-0.367215182208605,-0.257466197472588,-0.0245739451122001,0.159780189574095
"COL11A1/Neural",-0.316623630066635,-0.170284353307791,0.306445454370613,0.0381228352834601,0.196524887835872,0.358349307839314
"COL11A1/MSC",-0.454566860216998,0.0499166274944425,0.459449141301266,-0.114230059451757,0.0884065966050489,0.172660522632384
"COL11A1/Fibroblast",-0.424568951945077,-0.322291823807771,0.244918967494485,0.196931248037491,0.138053366276629,0.25213425729204
"COL11A1/Megakaryocyte",-0.424568951945076,-0.322291823807771,0.244918967494485,0.196931248037491,0.138053366276629,0.25213425729204
"COL11A1/Myeloid",-0.316623630066635,-0.170284353307791,0.306445454370613,0.0381228352834602,0.196524887835872,0.358349307839314
"CD72/MSC",-0.681097197811459,-0.00374250346533468,0.478624176343239,-0.00842511161919962,-0.0556819848843635,-0.0822220769184133
"CD72/Myeloid",-0.681181939955619,-0.00376257665342601,0.478631349443303,-0.00838553142030822,-0.0557358863607799,-0.0823174251740046
"COL16A1/Neural",-0.42538834778723,-0.322485917181987,0.244988326285864,0.1973139603432,0.137532177280424,0.251212307800596
"COL16A1/MSC",-0.434792573261012,0.0546006372010766,0.457775321916751,-0.12346596542873,0.100984327955985,0.194909712665353
"COL16A1/Fibroblast",-0.42538834778723,-0.322485917181987,0.244988326285864,0.1973139603432,0.137532177280424,0.251212307800597
"COL16A1/Megakaryocyte",-0.42538834778723,-0.322485917181987,0.244988326285864,0.1973139603432,0.137532177280424,0.251212307800596
"COL16A1/Myeloid",-0.42538834778723,-0.322485917181987,0.244988326285864,0.1973139603432,0.137532177280424,0.251212307800597
"ICAM3/Megakaryocyte",-0.616735350774575,0.390817335971791,0.685167060267673,-0.363658922435787,-0.0453092514232302,-0.0555259524658359
"ICAM3/Myeloid",-0.702464570035287,0.62338644581497,0.833751026717127,-0.540399229468942,-0.120216039892409,-0.182465744801696
"AHSG/Neural",-0.649264074986467,-0.249078146274483,0.334602223067042,0.193488026360491,-0.0150560483949971,-0.0159236298278119
"AHSG/MSC",-0.649264074986467,-0.249078146274483,0.334602223067042,0.193488026360491,-0.0150560483949971,-0.0159236298278119
"AHSG/Fibroblast",-0.649264074986467,-0.249078146274483,0.334602223067042,0.193488026360491,-0.0150560483949971,-0.0159236298278119
"AHSG/Megakaryocyte",-0.649264074986467,-0.249078146274483,0.334602223067042,0.193488026360491,-0.0150560483949971,-0.0159236298278119
"AHSG/Myeloid",-0.649264074986467,-0.249078146274483,0.334602223067042,0.193488026360491,-0.0150560483949971,-0.0159236298278119
"SLPI/MSC",-0.683930781507184,-0.004413666979598,0.478863938791183,-0.00710186746092742,-0.0574837601450429,-0.085410045500878
"SLPI/Myeloid",-0.684305503332976,-0.00450242876697353,0.4788956576372,-0.00692684735230856,-0.0577221078642496,-0.085831666758534
"KCNA3/Neural",-0.632507209808187,-0.37154694833906,0.26252018047827,0.294052276429523,0.00579101154608611,0.0181708868008049
"KCNA3/MSC",-0.632507209808187,-0.37154694833906,0.26252018047827,0.294052276429523,0.00579101154608611,0.0181708868008049
"KCNA3/Fibroblast",-0.632507209808187,-0.37154694833906,0.26252018047827,0.294052276429523,0.00579101154608611,0.0181708868008049
"KCNA3/Megakaryocyte",-0.632507209808187,-0.37154694833906,0.26252018047827,0.294052276429523,0.00579101154608611,0.0181708868008049
"KCNA3/Myeloid",-0.632507209808187,-0.37154694833906,0.26252018047827,0.294052276429523,0.00579101154608611,0.0181708868008049
