"","source","target","gene_A","gene_B","MeanLR","type_gene_A","type_gene_B"
"199","Fibroblast","Megakaryocyte","LGALS9","CD47",0.304788874762159,"Ligand","Receptor"
"200","Fibroblast","Megakaryocyte","LGALS1","ITGB1",0.629628890642827,"Ligand","Receptor"
"201","Fibroblast","Megakaryocyte","MIF","CD74_CXCR4",0.573591499605028,"Ligand","Receptor"
"202","Fibroblast","Megakaryocyte","CALR","ITGA2B",0.651600602941092,"Ligand","Receptor"
"203","Fibroblast","Megakaryocyte","LGALS1","CD69",0.499397210371496,"Ligand","Receptor"
"204","Fibroblast","Megakaryocyte","GNAS","PTGDR",0.442023323382127,"Ligand","Receptor"
"205","Fibroblast","Megakaryocyte","TIMP1","CD63",1.13099616692583,"Ligand","Receptor"
"206","Fibroblast","Megakaryocyte","MYL9","CD69",0.358573586720251,"Ligand","Receptor"
"207","Fibroblast","Megakaryocyte","CALM1","MYLK",0.474554307563268,"Ligand","Receptor"
"208","Fibroblast","Megakaryocyte","CALM3","MYLK",0.473758548529601,"Ligand","Receptor"
"209","Fibroblast","Megakaryocyte","HMGB1","CXCR4",0.944909411145567,"Ligand","Receptor"
"210","Fibroblast","Megakaryocyte","CALM1","GP6",0.372727210140432,"Ligand","Receptor"
"211","Fibroblast","Megakaryocyte","VWF","ITGB1",0.536623650168259,"Ligand","Receptor"
"212","Fibroblast","Fibroblast","LGALS3","ENG",0.57294892734687,"Ligand","Receptor"
"213","Fibroblast","Fibroblast","VWF","ITGB1",0.330283063897581,"Ligand","Receptor"
"214","Myeloid","Neural","LTF","TFRC",1.08964411798301,"Ligand","Receptor"
"215","Myeloid","MSC","ITGB2","THY1",0.4042517676085,"Ligand","Receptor"
"216","Myeloid","MSC","S100A8","CD36",2.9054937820714,"Ligand","Receptor"
"217","Myeloid","MSC","S100A9","CD36",2.65197844875656,"Ligand","Receptor"
"218","Myeloid","MSC","S100A12","CD36",0.41829162145636,"Ligand","Receptor"
"219","Myeloid","MSC","CLEC11A","ITGB1",0.433868135577437,"Ligand","Receptor"
"220","Myeloid","MSC","CLEC11A","ITGA11",0.343060215982195,"Ligand","Receptor"
"221","Myeloid","MSC","LTF","LRP1",0.936319215128209,"Ligand","Receptor"
"222","Myeloid","MSC","SLPI","PLSCR1",0.930479200465195,"Ligand","Receptor"
"223","Myeloid","Megakaryocyte","ITGB2","CD226",0.319055719411055,"Ligand","Receptor"
"224","Myeloid","Megakaryocyte","S100A8","CD36",3.18855232228103,"Ligand","Receptor"
"225","Myeloid","Megakaryocyte","S100A8","CD68",3.04270414435713,"Ligand","Receptor"
"226","Myeloid","Megakaryocyte","S100A9","CD36",2.93503698896619,"Ligand","Receptor"
"227","Myeloid","Megakaryocyte","S100A9","CD68",2.7891888110423,"Ligand","Receptor"
"228","Myeloid","Megakaryocyte","MIF","CD74_CXCR4",0.8113806157879,"Ligand","Receptor"
"229","Myeloid","Megakaryocyte","MIF","TNFRSF14",0.59749460921951,"Ligand","Receptor"
"230","Myeloid","Megakaryocyte","GRN","TNFRSF1A",0.354071738141466,"Ligand","Receptor"
"231","Myeloid","Megakaryocyte","S100A12","CD36",0.701350161665991,"Ligand","Receptor"
